"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1445",0.677,0.677,0,0,0,0,-0.659,0,0,0,0,-0.668,0,0,-0.973,-0.973,0,0,0,0,0,0,0,0,-0.998,-0.988,0.234,0,-0.976,0,0,0,0,0,0,-0.989,0,0,0
"MMRF_1433",1.004,1.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0,-0.71,-0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1436",0,0,0,0,0.878,0.878,0,0,0.883,0.883,0,0,0,0,0,0,0.858,0.858,0,0,0.874,0.874,0,0,0,0,0.897,0,0,0,0,0,0,0.856,0.856,0,0,0,0
"MMRF_1424",0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0.464,0,0,0,0,0,0,-0.946,-0.93,0,0,-0.916,-0.981,-0.981,0,0,-0.162,-0.162,0,0,-0.257,0
"MMRF_1425",-0.168,-0.168,0.683,0.683,0.687,0.687,-0.193,-0.193,0.687,0.687,-0.253,-0.253,0.688,0.688,0.659,0.659,0.797,0.797,-0.177,-0.177,0.872,0.872,-0.185,-0.185,-0.196,-0.182,0.736,-0.141,-0.141,0,0,-0.134,-0.134,1.591,1.591,-0.17,-0.17,0.689,-0.167
"MMRF_1439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.991,0.983,0,0,0,0,-0.969,0,0,0,0,0,0,0,0,0,0,0.931,0,-0.584,0,0,0
"MMRF_1450",0,1.192,0.505,0,0,0,0,0,1.486,1.486,0,0,1.65,1.65,-0.351,0,0.882,0.882,0,0.164,0.486,0.486,0,0,-0.987,0,1,0,-0.966,0.728,0.728,0.812,0.812,0.921,0.921,0,0,0,0
"MMRF_1451",0,0.882,0,0,0,0,-0.972,0,0,0,0,-0.886,0,0,-0.95,-0.95,0,0,0,0,0.683,0,0.139,0.139,-0.955,-0.969,0.156,0,0,0,0,-0.436,0.544,0.925,0,-0.475,0.505,0,0
"MMRF_1454",0.388,0.682,0,0,0,0,0,0.118,0,0,0,-0.95,0,0,0,0,0.105,0.105,-0.305,-0.305,-0.967,0.06,-0.322,-0.322,-1.001,0,0,-0.114,-0.114,0,0,0,0,0,0,0,0,0,-0.911
"MMRF_1460",-0.669,0,0,0,0,0,0.887,0.887,0.88,0.88,0,-0.891,0,0,0,0,0.916,0.916,0,0,0.915,0.915,0,0,-0.941,-0.923,0.949,0,0,0,0,0,0,0.928,0.928,0,0,0,0
"MMRF_1461",0,1.052,0,0,0,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1324",0,0.956,0,0,0.936,0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.001,-0.987,0,0,0,0,0,0,0,0,0,0,0,0.979,0
"MMRF_1392",0,0,0,0,0.955,0.955,0,0,1.846,1.846,0,0,0.93,0.93,0,0,0.972,0.972,0,0,0.936,0.936,0,0,0,0,1.905,-0.102,-0.102,0.816,0.816,0,0,1.739,1.739,0,0,0.907,-1.028
"MMRF_1413",0,0,0,0,0,0,0,0,0,0.626,0,0,0.729,0.729,-0.643,-0.643,0,0,0,0,0,0,-0.66,-0.66,-0.648,-0.673,1.326,-0.689,-0.689,0,0,-0.65,-0.65,0.524,0.524,-0.67,-0.67,0.874,-0.723
"MMRF_1393",0,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0,0,0.897,0.897,0,0,0.906,0.906,0,0,0,0,0.935,0,0,0,0,0,0,0.765,0.765,0.893,0.893,1.787,0
"MMRF_1148",0.747,0.864,0,0,0.98,0.98,0,0,0.952,0.952,0,0,0.898,0.898,-0.899,0,0.852,0.852,0,0,0,0,-0.14,0,0,-0.121,0.837,-0.186,-0.186,0.651,0.651,0.939,0.939,1.364,0.385,-0.209,-0.209,0.895,-0.262
"MMRF_1349",0.96,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.979,0,0,0,0,0,0,0,0,-0.154,-0.154,0,0,0,-0.166
"MMRF_1432",0.841,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.945,0,0,0,0,0,0,0,-0.96,-0.951,0,-0.955,-0.955,-0.97,0,0,0,0.344,0,0,0,0,-0.935
"MMRF_1293",0,0,0,0,0.881,0,0,0,0.881,0,0.204,0,0.974,0.974,0,0,0.958,0.958,0,0,1.002,1.002,0,0,0,0,0,0,-0.101,0,0,0,0,0.907,0.907,0,0,0,0
"MMRF_1216",0,1.899,0.976,0,0,0,0,0,0,0,0,0,0,0,-0.378,0,0,0,-0.583,0,0,0,0,0,-0.986,0,0.466,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1178",0.849,0.849,0,0,0.905,0.905,0,0,0,0,0.868,0.868,0.157,0.157,0,0,0.9,0.775,0,0,0,0,0,0,-0.901,0,0.875,-0.115,-0.115,0,0,-0.823,0,-0.131,-0.131,0,0,0,-0.208
"MMRF_1401",0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943,0.943,0,0,0.936,0.936,0,0,0,0,0,0,0,0,0,0,0,-0.12,-0.12,0,0,0,-0.13
"MMRF_1489",0,0,0,0,0.948,0.948,0,0,1.798,1.798,0.932,0.932,0.846,0.846,0,0,1.709,1.709,0,0,1.763,1.763,0,0,0,0,1.5,-0.133,-0.133,0.123,0.123,0,0,0.668,0.668,0,0,0.884,-0.193
"MMRF_1318",0,0,0,0,1.056,1.056,0,0,0,0,0,0,0,0,-0.134,0,1.01,1.01,0,0,0,0,0,0,-0.94,0,0,-0.153,-0.153,-0.173,-0.173,0,0,0.509,0.509,-0.119,-0.119,0,-0.269
"MMRF_1361",0,1.835,0,0,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.964,-0.957,0,-0.105,-0.105,-0.143,-0.143,0,0,-0.157,-0.157,0,0,0,-0.178
"MMRF_1021",0.433,0.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.946,-0.587,0,0,0,0,0,0,0,0.821,0.821,0,0,0,0
"MMRF_1030",0,0,0,0,0,0,0,0,0.988,0.988,0,0,0,0,0,0,0.957,0.957,0,0,0.978,0.978,0,0,0,0,0.951,-0.333,-0.462,0,0,0,0,0.877,0.877,0,0,0.968,0
"MMRF_1485",0,0.958,0,0,0,0,0,0,0.946,0,0.97,0,0.949,0.949,0,0,0.959,0.959,0,0,0,0,0,0,0,0,0.616,0,0,0,0,0,0,0.963,0.963,0,0,0,0
