"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1846",0,0,0.939,0,0.997,0.997,0,0,0,0,0.98,-0.017,0.874,0.874,0,0,0.97,0.97,0,0,0.995,0.995,0,0,-0.83,0,0.354,0,-1.003,0,0,0,0,0.864,0.864,0,0,0.809,0
"MMRF_1847",0,0.948,0.102,0,0,0.739,0,-0.893,0.925,0,0,0,0,0,-0.549,0.351,-0.637,0,-0.901,0,0,0,0,0,-0.98,0,0,0,0,0,0,0,0,0,0,-0.955,0,0,0
"MMRF_1856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1654",0,0,0,0,0,0,0,0,0.762,0.762,0.65,0,0,0,0,0,0.817,0.817,0,0,0,0,0,0,-0.713,0,0,0,0,-0.101,-0.101,0,0,0.516,0.516,0,0,0,-0.132
"MMRF_1678",0,0.703,0,0,0.849,0.849,0,0,0.828,0.828,0.709,0,0,0,0,0,0.772,0.772,0,0,0,0,0,0,0,-0.814,0,0,0,-0.12,-0.12,0,0,0.547,0.547,0,0,0,-0.145
"MMRF_1682",0,0,0,0,0.532,0.532,0,0,0.598,0.598,0.605,0.605,1.201,1.201,0,0,0.595,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0.598,0.555,0.555,0,0,0,0
"MMRF_1705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.76,0,0,0,0,0,0,0,0.692,0.692,0,0,0.732,0
"MMRF_1716",0,0.684,0,0,0.788,0.788,0,0,1.492,1.492,0.802,0.802,0.776,0.776,0,0,2.272,2.272,0,0,0.801,0.801,0,0,-0.68,0,0.77,0,0,0.696,0.696,-0.724,-0.724,0.68,0.68,0,0,0,0
"MMRF_1859",0,0,0,0,0.965,0.965,0,0,1.023,1.023,0,0,0.947,0.947,0,0,1.612,0.965,0,0,0.929,0.929,0,0,0,0,1.503,-0.104,-0.104,0,0,-0.453,-0.453,0.763,0.763,0,0,0.931,-0.121
"MMRF_1865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.828,-0.828,0,0,0,0,-0.141,-0.141,0,0,0,-0.129
"MMRF_1871",0,0,0,0,0.993,0.993,0,0,0.887,0.887,0.966,-0.015,0.966,0.966,-1.002,0.015,1.83,1.83,0,0,0,0,0,0,0,0.154,0.94,0,0,0,0,0,0,0.802,0.802,0,0,0.961,-0.116
"MMRF_1879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1.067,0,0,-0.984,0,0,0,-0.939,-0.389,0,0.142,0.142,-0.101,-0.101,0,0,0,-0.108
"MMRF_1881",0,0,0,0,0.988,0.988,0,0,0.983,0.983,0.798,0.798,0,0,0,0,0.958,0.958,0,0,0.965,0.965,0,0,0,0,0.921,0,0,0,0,0,0,0.808,0.808,0,0,0.968,-0.102
"MMRF_1886",-0.923,1.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1890",0.461,0.682,-0.505,-0.717,0.163,0.163,-0.7,-0.7,0,0,-0.234,-0.393,0.095,0.29,0.248,1.021,0.148,0.148,0,0,0.266,0.266,-0.799,-0.799,-0.808,-0.105,0.331,-0.12,-0.247,-0.755,0.24,-0.717,-0.579,0.103,-0.176,-0.771,-0.667,0,-0.83
"MMRF_1893",0,0,0,0,0,0,0,0,0.568,0.568,0.553,0.553,0.555,0.555,0,0,0.567,0.567,0.547,0.547,0.57,0.57,0,0,0,0,0.552,0,0,0,0,1.119,1.119,0.5,0.5,0,0,0.553,0
"MMRF_1900",0,0,0,0,0.861,0.861,-0.112,-0.112,0.882,0.882,0,-0.103,0,0.55,-0.51,0,0.879,0.879,0,0,1.15,1.15,0,0,-0.128,0,1.909,0,0,0,0,0,0,1.086,1.086,0,0,1.145,0
"MMRF_1882",0.163,0.163,0,0,0.16,0.16,0,0,0.909,0.909,0,0,0,0,-0.404,0,1.049,1.049,0,0,0.96,0.96,0,0,-0.502,0,0.963,0,-0.347,0,0,0,0,1.632,0.888,0,0,0,-0.107
"MMRF_1541",0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0.841,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1588",0,0,0,0,0.927,0.927,0,0,0.929,0.929,0,0,0.911,0.911,0,0,0.916,0.916,0,0,1.091,1.091,0,0,0,0,0.927,0,0,0.87,0.87,0,0,0.844,0.844,0,0,0,0
"MMRF_1686",0,0,0,0,0.726,0.726,0,0,0.724,0.724,0,0,0.712,0.712,0.73,0.73,1.451,1.451,0.734,0.734,1.443,1.443,0,0,0,0,1.476,0,0,0,0,0,0,0.693,0.693,0,0,1.442,0
"MMRF_1690",-0.193,-0.193,0.575,0.575,0.504,0.504,0,0,1.295,1.295,-0.23,-0.23,1.257,1.257,-0.245,-0.245,0,0.471,-0.253,-0.253,0.557,0.557,-1.008,-1.008,-0.235,-0.233,1.391,-0.288,-0.288,0,0.346,-0.234,-0.234,1.094,1.094,0.247,0.489,-0.254,-0.31
"MMRF_1698",0,0,0,0,0.931,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0.939,0,0,0,0,1.013,0,0,0,0,0,0,1.048,1.048,0,0,0.952,0
"MMRF_1780",0,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.936,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1833",0,0,0,0,0,0,-0.656,-0.656,0,0,0,-0.653,0,0,-1.293,-0.657,0.677,0.677,-0.659,-0.659,0.659,0,-0.656,-0.656,-0.656,-0.656,0.678,-0.669,-0.669,-0.677,0,0,0,0.562,0.562,-0.661,-0.661,0,-0.674
"MMRF_1839",-0.582,0,0,0,0.977,0.977,0,0,1,1,0,0,0.93,0.93,-0.145,0,0.97,0.97,0,0,1.164,1.164,0,0,0,0,1.039,0,-0.697,-0.141,0,0,0,1.801,1.801,0,0,0,0
"MMRF_1850",0,0,0,0,0.984,0.984,0,0,0.988,0.988,0,0,0.966,0.966,0,0,0.996,0.996,0,0.874,0.897,0.897,0,0,0,0,1.864,0,0,0,0,0,0,0.838,0.838,0,0,0,0
"MMRF_1895",0,0,0,0,0.944,0.944,0,0,0.984,0.984,0,0,0,0,0,0,1.7,1.7,0,0,1.876,1.876,0,0,0,0,1.869,-0.108,-0.532,-0.108,-0.108,0,0,1.525,1.525,0,0,0,-0.126
"MMRF_1906",0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158,-0.158,0,0,0,-0.116
"MMRF_1537",-0.335,-0.335,0,0,0.158,0.158,-0.465,-0.465,0.505,0.505,0.847,0.847,0.185,0.185,-0.446,-0.446,0.576,0.689,-0.394,-0.394,0.219,0.219,-0.424,-0.424,-0.458,0,0.244,-0.36,-0.36,0.32,0.32,-0.786,-0.786,0.375,0.375,0,0,-0.348,-0.312
"MMRF_1917",0,0,0,0,0,0,0,0,0,0,-0.183,-0.183,0,0,0,0,0,0,0,0,0,0,0,0,-0.932,0,0,0,0,0,0,0,0,0,0,-0.776,0,0,-0.795
"MMRF_1921",0,0,0.167,0.167,0.882,0.882,0,0,1.726,1.726,0,0,0.869,0.869,0,0,0.869,0.869,0,0,0.875,0.875,0,0,0,0,1.747,0,0,0,0,0,0,0.781,0.781,0,0,0,0
"MMRF_1922",-0.33,0,0.428,0.155,0.449,0.449,-0.301,-0.301,1.225,1.225,1.003,0.141,0.445,0.445,-0.355,0,0.844,0.844,-0.379,-0.379,0.418,0.418,-0.371,-0.371,-0.354,-0.368,1.66,-0.403,-0.403,-0.367,0,-0.367,-0.367,0.25,0.25,-0.369,-0.369,0.758,-0.448
"MMRF_1927",0,0,0,0,0,0.783,-0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.919,0,0,0,0,0,0,0,0,0,0
"MMRF_1963",-0.95,0,0,0,0,0,0,0,0,0,0,0,0.603,0,-0.943,-0.943,0,0,0,0,0,0,-0.943,-0.943,-0.944,-0.945,0,-0.943,-0.943,0,0,0,0,0,0,0,0,0,-0.962
"MMRF_1967",0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.947,0.973,0.973,0,0,0,0,0.971,0,-0.918,0,0,0,0,0,0,0.965,0.965,0,0
"MMRF_1965",0,1.806,0,0,0,0,0,0,0,0,0,0,0,0,-0.996,0,0,0,0,0,0,0,0,0,-0.992,0,0,0,0,0,0,0,0,-0.118,-0.118,0,0,0,-1.022
"MMRF_1981",-0.667,-0.667,0,0,0.669,0.669,0.107,0.107,0,0,-0.653,-0.653,0,0.427,-1.293,-0.412,0,0.298,-0.672,-0.672,1.318,1.318,-0.665,-0.665,-0.405,0,1.972,-0.697,-0.697,-1.129,-1.129,0,0,0.504,0.504,0,0,0,-0.618
"MMRF_1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0.889,0,0,0.679,0.679,0,0,0,0.529,0,0,0,0,0,0.484,0.484,0.709,0.709,0,0,0.858,0
"MMRF_1998",0.972,0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965,0,0,0,0,0,0,0
"MMRF_2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.979,0,0,0,0,0,0,0,0,-0.11,-0.11,0,0,0,0
"MMRF_1880",0,0,0,0,0.997,0.997,0,0,0.996,0.996,0,0,0.982,0.982,0,0,0.982,0.982,0,0,0.992,0.992,0,0,0,0,1.967,0,0,0,0,0,0,0.88,0.88,0,0,0.97,0
"MMRF_2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191
"MMRF_1851",0,0,0,0,0,0,0,0,0.949,0,0,-0.999,0,0,-0.943,0.946,0,0,0,0,0,0,0,0,-1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1891",0.952,0.952,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0.955,0.955,0,0,0,0,0,0,-0.979,0,0,0,-0.919,0,0,0,0,0.805,0.805,0,0,0,0
"MMRF_1911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.964,-0.966,0,0,0,0,0,0,0,-0.128,-0.128,0,0,0,-0.112
"MMRF_1932",-0.909,0,0,0,0.453,0.453,0.93,0.93,0.968,0.968,0,0,0.899,0.899,-0.5,0,0.936,0.936,-0.472,0,0.964,1.091,0,0,0,0,0.949,-1.003,-1.003,0,0,0.956,0.956,0.821,0.821,0,0,0.89,0
"MMRF_1985",0,0,0,0,0.825,0.825,0,0,0.846,0.846,0,0,0.706,0.706,-0.734,0,0.846,0.846,0,0,0.834,0.834,0,0,-0.703,0,0.795,-0.102,-0.102,-0.127,-0.127,0.767,0.767,0.557,0.557,0,0,0.612,-0.863
"MMRF_1928",0,0.999,0,0,0.976,0.976,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0.937,0.143,0,0,0.985,0
"MMRF_1915",-0.402,-0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,-0.394,-0.547,-0.547,-0.576,-0.576,0,0,0.179,0.179,0,-0.119,0,-0.192
"MMRF_1972",-0.133,0,0,0,0.893,0.893,0,0,0.941,0.941,0,0,0.893,0.893,0,0,0.859,0.859,0,0,0.837,0.837,0,0,0,0,0.84,-0.156,-0.156,-0.142,-0.142,0,0,1.561,0.721,-0.918,-0.106,0,-0.16
"MMRF_1977",0,0,0,0,0.948,0.948,0,0,1.004,1.004,0,0,0,0,0,0,0.991,0.991,0,0,0,0.967,0,0,0,-0.924,1.938,0,0,0,0,0,0,0.87,0.87,0,0,0,0
"MMRF_1824",0.61,0.61,0,0,0,0,0,0,0.615,0.615,0,0,0,0,0,0,0.609,0.609,0,0,0,0,0,0,0,0,1.198,0,0,0,0,0,0,0.528,0.528,0,0,0,0
"MMRF_1862",0,0,0,0,0,0,0.138,0.138,0,0,0,0,0.107,0.107,0.108,0.108,0,0,0,0,0,0.36,0,0,0,0.357,0.202,0,-0.565,0,0,0,0,0,0,0,0,0,0
"MMRF_1790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.424,-0.048,0,0
"MMRF_1727",0.973,0.973,0,0,0,0,-0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269,0,0,0,0,0.891,1.009,0,0,0,0,0,0,0,0
"MMRF_1738",0,0.916,0,0,0.921,0.921,0,0,1.789,0,0.936,0.936,0.915,0.915,-0.497,0,0.895,0.895,0,0,1.028,1.028,-0.936,0,-0.928,0,0.941,0,-0.936,-0.952,0,0.908,0.908,0.712,0.712,0,0,0,-0.134
"MMRF_1861",0,0,0,0,0.135,0.135,0,0,0.623,0.623,0,-0.479,0.113,0.113,-0.348,0,0.47,0.47,0,0,0.62,0.62,0,0,-0.104,0,0.664,0,0,0,0,0.571,0.571,1.127,1.127,0,0,0,0
"MMRF_1814",0,0,0,0,0.875,0.875,0,0.821,0.869,0.869,0,-0.838,0,0,0,0,0.881,0.881,0,0,1.532,1.532,0,0,-0.912,0,2.692,0,0,0,0,0,0,1.764,1.764,0,0,0,0
"MMRF_1888",0,0,0,0,0,0,1.021,1.021,0,0,0,0,0.952,0.952,0,0,0.935,0.935,0,0,0,0,0,0,0,0,0.956,0,0,0.84,0.84,0,0,0.768,0.768,-0.935,0,0,0
"MMRF_1918",0,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1982",0,0,0,0,0.947,0.947,0,0,0.983,0.983,0.94,0.94,0.935,0.935,0,0,1.918,1.918,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0.918,0.918,0,0,0,0
"MMRF_1991",0,0.147,0,0,0.847,0.847,0.88,0.88,0.844,0.844,0.887,0.887,0.885,0.885,0,0,0.897,0.897,0,0,0,0,0,0,-1.032,0,1.001,0,0,0,0,0.878,0.878,0.865,0.865,0,0,0,0
"MMRF_2001",0,0,0,0,0.842,0.842,0.793,0.793,-0.101,-0.101,0.834,0.834,0.837,0.837,-0.104,-0.104,0.844,0.844,0,0,0.859,0.859,0,0,-0.108,0,1.831,0,0,-0.108,-0.108,0.851,0.851,1.742,1.742,0,0,-0.111,0.841
"MMRF_2006",0,0,0,0,0.983,0.983,0,0,0.986,0.986,0.989,0.989,0.953,0.953,0.976,0.976,0.98,0.98,0,0,0.978,0.978,0,0,0,0,0.984,0,0,0,0,0,0,0.953,0.953,0,0,0,0
"MMRF_2015",0.142,0.142,0,0,0,0,0,0,0,0,0,-1.007,0,0,0,0,0,0,0.108,0.108,0.759,0.759,-0.937,0,-1.009,0,0,0,-0.959,-0.99,0,0,0,0.157,-0.741,0,0,0,0
"MMRF_2012",0,0,0,0,-0.125,0,0,0,0.945,0.945,0.956,0.956,0,-0.175,0,0,0.897,0.897,0,0,0,0,0,0,-0.951,0,0.95,0,0,0,0,0,0,1.805,0,0.955,0.955,0,0
"MMRF_1908",0.001,0.419,0,0,0,0,0,0,0,0,0,-0.918,0,0,0,0,0,0,0,0,0,0,0,0,-0.921,-0.924,0,0,-0.854,0,0,0,0,0,0,0,0,0,-0.927
"MMRF_1916",0,0.973,0,0,0,0,0,0,0.472,0.472,0.435,0,0,0,0,0,0.478,0.478,0,0,0,0,0,0,-0.503,0,0.455,0,0,0.47,0.47,0.472,0.472,0.492,0.492,0,0,0,0
"MMRF_1931",0.81,0.81,0,0,0.802,0.802,0,0,0.864,0.864,0,0,0.185,0.185,0,0,0.839,0.839,0,0,0,0,0,0,0,0.009,0.838,0,0,0,0,0,0,0.488,0.488,0,0,0,-0.104
"MMRF_1971",0,0.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78,0,0,0,-0.758,0,0,0,0,0,0,0,0,0,-0.81
"MMRF_1978",0,0.366,0,0,0.416,0.416,0,0,0.685,0.685,0.64,0,0.679,0.679,0,0,0.666,0.666,0,0,0,0,0,0,0,0,0.642,0,0,0,0,0,0,0.549,0.549,0.037,0.598,0,0
"MMRF_2018",0,0,0,0,0.95,0.95,0,0,0.949,0.949,0,-0.814,0.949,0.949,0,0,0.949,0.949,0,0,0.96,0.96,0,0,0,0,1.924,0,0,0,0,0,0,1.88,1.88,0,0,0.95,0
"MMRF_2038",0,0,0,0,0.977,0.977,0,0,0.973,0.973,0,0,0.959,0.959,0,0,1.953,1.953,0,0,0.881,0.881,0,0,0,0,0.968,0,0,0.935,0.935,0,0.892,0.899,0.899,0,0,0.962,0
"MMRF_2035",0,0.958,0,0,0.968,0.968,0,0,0.962,0.962,0,0,0.972,0.972,-0.956,0,0.954,0.954,0,0,0,0,0,0,-0.973,0,0.95,0,0,0,0,-0.969,0,0.886,0.886,-0.958,0,0.949,0
"MMRF_2041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.998,0,0,-1.01,-1.01,0,0,0,0,0,0,0,0,0,0
"MMRF_2054",0,0,0,0,0.904,0.904,0,0,0.991,0.991,0,0,0,0,-0.424,0,0.961,0.961,0,0,0.941,0.941,0,0,0,0,0.959,0,0,0,0,0,0,0.863,0.863,0,0,0,0
"MMRF_2057",0,0,0,0,0,0,0,0,1.004,1.004,0,0,0.984,0.984,0,0,0.984,0.984,0,0,0,0,0,0,-1.008,0,1.991,0,0,0,0,0,0,0.964,0.964,0,0,0,0
"MMRF_2056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2062",0,0,0,0,0,0.983,0,0,0,0,0,0,0.954,0.954,-0.981,-0.981,0,0,0,0,0,0,0,0,-0.988,-0.979,0,0,0,0,0,0,0.794,0,0,-0.9,0,0,0
"MMRF_2072",0,0,0,0,0,0,-0.65,-0.65,0,0,0,0,0,0,-1.066,-1.066,0.609,0.609,0,0,0,0,-1.113,-0.657,-1.293,-0.631,0.759,-0.636,-0.636,-0.62,-0.62,0,0,0.549,0.549,-0.861,-0.602,-0.468,-0.599
"MMRF_2081",-0.994,0.95,0,0,-0.931,0.913,-0.993,-0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.995,0,0,0,-0.995,0,0,0,0,0,0,0,0,0,-1.009
"MMRF_2093",0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.581,-0.581,-0.994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116
"MMRF_2002",-0.617,0,-0.612,-0.612,0,0,0,0,0,0,0,0,0.657,0.657,-0.633,-0.633,-0.585,0,-0.62,-0.62,0,0,-0.626,-0.626,-0.633,-1.244,0,-0.625,-0.625,0,0,0,0,0.621,0,-0.615,-0.615,0,-1.221
"MMRF_2047",0,0.874,0,0,0.871,0.871,0,0,0,0,0,0,0.861,0.861,0,0,0.871,0.871,0,0,0,0,0,0,0,0,0.883,0,0,0,0,0,0,1.758,1.758,0,0,0,0
"MMRF_2061",0,0,0,0,0.855,0.855,0,0,0.873,0.873,0,0,0.861,0.861,-0.787,0,0.837,0.837,0,0,0,0,0,0,-0.762,0,0.872,0,0,0.74,0.74,0,0,0.817,0.817,-0.392,0,0.859,0
"MMRF_2074",-0.133,0.612,-0.153,-0.153,0.733,0.733,0,0,0.701,0.701,0.165,-0.34,0.734,0.734,-1.051,-0.193,0.761,0.761,-0.141,-0.141,0.764,0.764,-0.163,-0.163,-1.068,-0.157,1.701,-0.14,-0.14,-0.112,-0.112,0.713,0.713,0.83,0.83,0,0,1.63,0
"MMRF_1169",-0.482,0,0,0,0.646,0.646,0,0,0.56,0.132,0,0,0.662,0.662,-0.66,-0.66,0,0,0,0,0,0,0,0,-0.692,0,1.198,-0.641,-0.641,-0.569,0,0,0,0.509,0.509,0,0,0,-0.69
"MMRF_1997",0,0,0,0,0.801,0.801,0,0,0.802,0.802,0,0,0.789,0.789,0,0,0.773,0.773,0,0,0.773,0.773,0,0,-0.582,0,0.779,0,0,0,0,0,0,0.696,0.696,0,0,0,0
"MMRF_2043",0,0,0,0,0.251,0.251,0.89,0.89,0.882,0.882,0,0,0.876,0.876,0,0,0.869,0.869,0,0,0.873,0.873,0,0,-0.878,0,1.752,0,0,0,0,0,0,0.801,0.801,0,0,0,0
"MMRF_2083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179,-0.954,-0.954,0,0,0,0,0,0,0,0
"MMRF_2091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.011,0,0,0,0,0,0,0,-0.166,-0.166,-0.929,0,0,-1.012,-1.012,-0.86,-0.212,0,0,-0.164,-0.164,-0.156,-0.156,0,0
"MMRF_2098",0,0,0,0,0,0.971,0,0,0.982,0.982,0,0,0.963,0.963,0,0,1.952,1.952,0,0,0.983,0.983,-0.969,0,0,0,1.953,0,0,0,0,0,0,0.93,0.93,0,0,0,0
"MMRF_2115",-0.889,0,0,0,0,0,0,0,0.92,0,0,0,0,0,-0.956,0,0.954,0.954,0,0,0.937,0.937,-0.279,0,-0.952,0,0,-0.966,-0.966,0,0,0,0,1.705,0.874,-0.889,0,0,0
"MMRF_2116",0,0,0,0,0.964,0.964,0,0,0.963,0.963,0,0,0.949,0.949,0,0,0.951,0.951,0,0,0.963,0.963,0,0,0,0,0.945,0,0,0,0,0,0,1.797,1.797,0,0,0.924,0
"MMRF_2118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.986,-0.986,-0.984,-0.987,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2126",0,0,0.974,0.974,0.935,0.935,0,0,0.965,0.965,0,0,0,0,-0.964,0,0.954,0.954,0,0,1.003,1.003,0,0,0,0,1.902,0,0,0,0,0,0,0.876,0.876,0,0,1.095,0
"MMRF_2150",0.837,0.837,0,0,0,0.8,-0.116,-0.116,0.683,0.493,0.703,-0.107,0.808,0.808,-0.118,-0.118,0.833,0.833,0.775,0.775,0.834,0.834,-0.104,-0.104,-0.207,0,1.733,-0.137,-0.137,-0.15,-0.15,0.84,0.84,0.803,0.803,-0.116,-0.116,-0.113,-0.142
"MMRF_2026",0,0,0,0,0.987,0.987,0,0,0,0,0,0,0.93,0.93,0,0,0,0,0,0,0,0.95,0,0,0,0,0,-1.027,-1.027,0,0,0,0,0.801,0.801,0,0,0,-0.113
"MMRF_2055",0.018,0.994,0,0,0.985,0.985,0,0,1.128,1.128,0,0,0.948,0.948,0,0,1.111,1.111,0,0,0,0,0,0,-0.983,0,0.961,0,0,0,0,0,0,0.843,0.843,0,0,0,0
"MMRF_2059",0,0.907,0,0,0,0,0,0,0,0,0,0,0,0,-0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.932,0,0,0,0,0,0,0,0,0,0
"MMRF_2080",0,0,0,0,0.835,0.835,0,0,0.838,0.838,0,0,0.842,0.842,0,0,0.976,0.976,0,0,0,0.858,0,0,0,0,0.867,0,0,0.885,0.885,0,0,1.639,0.88,0,0,0,0
"MMRF_2079",0,0,0,0,0.949,0.949,0,0,0.956,0.956,0,0,0.84,0.84,0,0,1.863,1.863,0,0,0.929,0.929,0,0,0,0,1.839,0,0,0.826,0.826,0,0,0.745,0.745,0,0,0.912,-0.13
"MMRF_2076",0,0,0,0,0.954,0.954,0,0.966,0.952,0.952,0,0,0.939,0.939,0,0,0.925,0.925,0.93,0.93,0.937,0.937,0,0,-0.995,0,0.937,0,0,0,0,0.937,0.937,0.845,0.845,0,0,0.935,0
"MMRF_2082",0,0,0,0,1.003,1.003,0,0,1.983,1.983,0.933,0.933,0.969,0.969,0,0,0.965,0.965,0,0,0,0,0,0,0,0,1.91,0,-0.969,0,0,0,0,0.835,0.835,0,0,0,0
"MMRF_2087",-0.963,0,0,0,0.9,0.9,0,0,0.976,0.976,0,0,0.9,0.9,0,0,1.778,1.778,0,0,0.935,0.935,0,0,0,0,1.974,0,0,0,0,0.882,0.882,1.096,1.096,0,0.109,0,0.142
"MMRF_2106",0,1.403,0,0,0,0,0,0,0.721,0.721,0,0,0,0,0,0,0.153,0.153,0,0,0,0,0.738,0.738,-0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101
"MMRF_2107",-0.614,-0.614,0,0,0,0,-0.601,-0.601,0.752,0.752,0,0,0.696,0.696,-1.239,-0.606,0.648,0.648,-0.622,-0.622,0,0,-0.609,-0.609,-0.588,-0.622,1.481,-0.646,-0.646,0,0,-1.287,-1.287,0.601,0.601,-0.639,-0.639,0.137,-0.661
"MMRF_2111",0,0,0,0,0,0,0,0,0.977,0.977,0.928,0.928,0.939,0.939,-0.902,0,0.939,0.939,0,0,0,0,0,0,0,0,1.914,0,0,0,0,0,0,0.724,0.724,0,0,0.955,0
"MMRF_2122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.992
"MMRF_2119",0.953,0.953,0,0,0,0,0,0,0.975,0.975,0,0,0.929,0.929,0,0,1.799,1.799,0,0,0,0,0,0,-0.966,0,0.987,0,0,0,0,0,0,0.825,0.825,0,0,0,0
"MMRF_2125",0,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107
"MMRF_2141",0,0,0,0,0,0,0,0,0.723,0.723,0,0,0,0,0,0,0.702,0.702,0,0,0.703,0.703,0,0,0,0,0,0,0,0,0,0,0,0.637,0.637,0,0,0.537,-0.117
"MMRF_2151",0,0,0,0,0.911,0.911,0,0,0,0,0.475,-1,0,0,-0.931,-0.931,0.915,0.915,0,0,0.951,0.951,0,0,-1,-0.925,1.066,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_2153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-0.135,0,0
"MMRF_1073",0,0,0,0,0.993,0.993,0,0.306,0.994,0.994,0,0,0.977,0.977,0,0,1.884,1.884,0,0,0.985,0.985,0,0,0,0,2.96,0,0,0,0,-0.999,-0.999,0.896,0.896,0,0,1.254,0
"MMRF_2113",0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0,0,0,0,0,0,-0.985,-0.964,0,0,0,0,0,0,0,0,0,0,0,-0.975,0
"MMRF_2143",0,0,0,0,0.457,0.457,-0.399,0,0.441,0.441,0,0,0,0,0,0,0.413,0.413,0,0,0.857,0.857,0,0,0,0,0.419,0,0,0,0,0,0,0.315,0.315,0,0,0,-0.107
